name|equipment
Amaretto Sugar Cookies|oven
Amaretto Sugar Cookies|baking sheet
Amaretto Sugar Cookies|whisk or mixer
Amaretto Sugar Cookies|mixing bowl
Amaretto Sugar Cookies|cloth
Toffee Bits Chocolate Cookies|cookie sheet
Toffee Bits Chocolate Cookies|parchment paper
Toffee Bits Chocolate Cookies|mixing bowl
Toffee Bits Chocolate Cookies|spoon
Toffee Bits Chocolate Cookies|whisk
Toffee Bits Chocolate Cookies|mixer
Toffee Bits Chocolate Cookies|refridgerator
Toffee Bits Chocolate Cookies|oven
Toffee Bits Chocolate Cookies|wire rack
