name|ingredient
Amaretto Sugar Cookies|1 cup softened butter or margarine
Amaretto Sugar Cookies|1 1/2 powdered sugar
Amaretto Sugar Cookies|1 egg
Amaretto Sugar Cookies|1 teaspoon vanilla extract
Amaretto Sugar Cookies|1/2 teaspoon almond extract
Amaretto Sugar Cookies|2 1/2 cups all-purpose flour
Amaretto Sugar Cookies|1 teaspoon baking soda
Amaretto Sugar Cookies|1 teaspoon cream of tartar
Amaretto Sugar Cookies|~1 cup Frosting of Amaretto
Frosting of Amaretto|1 cup powdered sugar
Frosting of Amaretto|1-2 tablespoons amaretto
